#,course_id_name,day,group_number,course_type,end_time,lecturer_name,lesson_or_exercise,semester,start_time
87,סדנת יזמות - 150055,ו,15005501,choice - Sadna,06:04,"ד""ר גלובוס אורי",שיעור,א,06:00
88,סדנת משחקים ולמידת מכונה - 150057,ו,15005701,choice - Sadna,06:08,"ד""ר גלובוס אורי",שיעור,א,06:04
89,סדנת נתונים רפואיים - 150059,ו,15005901,choice - Sadna,06:04,פרופ' שרייבמן עדי,שיעור,א,06:00
90,סטטיסטיקה מכוונת למידה - 142206,ב,14220601,choice - Math,17:45,"ד""ר בק נילי",שיעור,א,14:15
91,סטטיסטיקה מכוונת למידה - 142206,ד,14220602,choice - Math,20:00,"ד""ר בק נילי",שיעור,ב,16:30
92,עיבוד שפה טבעית - 145005,א,14500501,choice - Computer Science,14:30,"ד""ר רבינוביץ אלה",שיעור,א,12:00
93,ערבית מדוברת - 800003,א,80000301,choice - Sciences,17:30,גב' נאטור היבא,שיעור,א,16:00
94,ערבית מדוברת - 800003,ד,80000301,choice - Sciences,18:30,גב' נאטור היבא,שיעור,א,17:00
95,פיתוח מודלים פיננסים ופינטק - 150058,ו,15005801,choice - Sadna,06:04,מר זוין עופר-שמשון,שיעור,א,06:00
96,פיתוח מוצר תוכנה בטכנולוגיות מבוססות ענן - 150060,ו,15006001,choice - Sadna,06:04,מר שני יוגב,שיעור,א,06:00
97,פיתוח מציאות מדומה - 142178,ב,14217802,choice - Computer Science,21:00,מר נתנאל עמית,שיעור,קיץ,17:30
98,פיתוח תוכנה מבוסס ג'אווה - 142203,א,14220302,choice - Computer Science,19:45,מר כהן אביעד,שיעור,ב,16:15
99,פיתוח תוכנה מבוסס ג'אווה - 142203,א,14220303,choice - Computer Science,20:30,מר כהן אביעד,שיעור,קיץ,16:15
100,פיתוח תוכנה מבוסס ג'אווה - 142203,ד,14220303,choice - Computer Science,20:30,מר כהן אביעד,שיעור,קיץ,16:15
101,פיתוח תוכנה מבוססת תקשורת מחשבים - 150064,ו,15006401,choice - Sadna,06:04,"ד""ר בינסקי הדר",שיעור,א,06:00
102,פרוייקט במסגרת הסדנה - 151112,ו,15001202,choice - Sadna,06:04,מר קירש אמיר,שיעור,ב,06:00
103,פרוייקט במסגרת הסדנה - 151112,ו,15002902,choice - Sadna,06:04,מר מרגלית דרור,שיעור,ב,06:00
104,פרוייקט במסגרת הסדנה - 151112,ו,15003402,choice - Sadna,06:09,מר קירש אמיר,שיעור,ב,06:04
105,פרוייקט במסגרת הסדנה - 151112,ו,15004102,choice - Sadna,06:14,מר קירש אמיר,שיעור,ב,06:10
106,פרוייקט במסגרת הסדנה - 151112,ו,15005502,choice - Sadna,06:04,"ד""ר גלובוס אורי",שיעור,ב,06:00
107,פרוייקט במסגרת הסדנה - 151112,ו,15005702,choice - Sadna,06:09,"ד""ר גלובוס אורי",שיעור,ב,06:05
108,פרוייקט במסגרת הסדנה - 151112,ו,15005802,choice - Sadna,06:04,מר זוין עופר-שמשון,שיעור,ב,06:00
109,פרוייקט במסגרת הסדנה - 151112,ו,15005902,choice - Sadna,06:04,פרופ' שרייבמן עדי,שיעור,ב,06:00
110,פרוייקט במסגרת הסדנה - 151112,ו,15006002,choice - Sadna,06:04,מר שני יוגב,שיעור,ב,06:00
111,פרוייקט במסגרת הסדנה - 151112,ו,15006102,choice - Sadna,06:04,מר זהר עמית,שיעור,ב,06:00
112,פרוייקט במסגרת הסדנה - 151112,ו,15006302,choice - Sadna,06:04,"ד""ר סולאמי רדליך משה",שיעור,ב,06:00
113,פרוייקט במסגרת הסדנה - 151112,ו,15006402,choice - Sadna,06:04,"ד""ר בינסקי הדר",שיעור,ב,06:00
114,פרוייקט במסגרת הסדנה - 151112,ו,15006502,choice - Sadna,06:04,גב' קמה גיל,שיעור,ב,06:00
115,פרוייקט במסגרת הסדנה - 151112,ו,15006602,choice - Sadna,06:04,מר רוכברגר בני,שיעור,ב,06:00
116,פרוייקט במסגרת הסדנה - 151112,ו,15006702,choice - Sadna,06:04,"ד""ר כהן שראל",שיעור,ב,06:00
117,פרוייקט במסגרת הסדנה - 151112,ו,15006802,choice - Sadna,06:09,"ד""ר כהן שראל",שיעור,ב,06:05
118,קומפיילרים : כרוניקה של תרגום יעיל - 142227,ב,14222701,choice - Computer Science,12:00,"ד""ר שטיין אסתר",שיעור,ב,09:30
119,ראייה ממוחשבת - 142205,ב,14220501,choice - Computer Science,19:45,מר צ'צ'יק יהונתן,שיעור,א,17:15
120,רשתות נוירונים בעיבוד שפה טבעית - 142217,א,14221701,choice - Computer Science,11:00,מר סרור אליק,שיעור,ב,08:30
121,שימושי אלגברה לינארית במדעי המחשב - 142183,א,14218301,choice - Math,17:45,"ד""ר גולדנברג אלעזר",שיעור,א,16:15
122,שימושי אלגברה לינארית במדעי המחשב - 142183,ג,14218301,choice - Math,17:45,"ד""ר גולדנברג אלעזר",שיעור,א,16:15
123,תגבור בלוגיקה וחדוא - 11126,א,1112601,choice - Extra,18:45,"ד""ר סגל זף",שיעור,א,17:15
124,תכנות מרובה ליבות - 142224,ב,14222401,choice - Computer Science,18:45,"ד""ר סולאמי רדליך משה",שיעור,ב,16:15
125,תכנות פונקציונלי - 142186,א,14218601,choice - Computer Science,15:45,"ד""ר זיסר אילן",שיעור,ב,13:15
